pax_id,flight_id,flight_date,delay_minutes,cancelled
69,82,2022-06-13,102,1
70,33,2022-04-02,75,0
71,6,2022-09-25,70,0
72,54,2024-03-24,19,0
73,132,2024-12-06,1,0
74,34,2022-07-27,56,0
75,92,2024-09-10,42,0
76,109,2022-07-17,45,0
77,113,2024-05-31,69,1
78,87,2023-01-09,51,1
79,86,2022-06-10,7,1
80,194,2023-05-17,49,0
81,42,2024-01-28,88,1
82,169,2023-09-13,68,1
83,19,2024-08-14,61,0
84,123,2022-08-11,44,1
85,29,2024-06-17,13,1
86,53,2024-04-27,97,1
87,30,2022-04-02,28,0
88,96,2022-03-06,0,1
89,38,2022-06-01,18,0
90,138,2024-07-26,27,1
91,17,2023-12-08,84,0
92,165,2023-10-06,15,1
93,110,2022-08-07,13,1
94,69,2022-01-27,44,1
95,129,2023-09-24,26,1
96,65,2024-04-17,118,1
97,4,2023-10-06,71,0
98,162,2022-06-21,101,0
99,53,2022-03-17,101,0
100,101,2022-10-26,2,1
101,85,2024-10-18,81,0
102,78,2022-06-01,64,1
103,167,2024-12-22,107,0
104,60,2023-03-28,89,1
105,166,2024-09-05,84,1
106,3,2024-02-02,67,0
107,172,2023-03-17,21,0
108,122,2023-05-19,76,0
109,98,2022-06-03,52,1
110,180,2022-09-15,24,0
111,60,2022-12-28,26,0
112,45,2022-02-26,113,0
113,172,2024-06-07,26,1
114,31,2023-06-10,15,1
115,129,2023-06-11,102,0
116,6,2024-06-13,28,1
117,8,2022-01-21,57,0
118,149,2023-05-19,2,1
119,149,2023-07-02,48,0
120,184,2022-11-19,76,0
121,127,2023-02-02,56,1
122,123,2023-10-28,101,1
123,155,2022-03-10,28,1
124,32,2022-03-22,56,0
125,181,2023-01-30,30,1
126,53,2023-02-08,97,0
127,127,2023-12-05,104,1
128,144,2023-09-26,114,1
129,51,2023-10-22,34,0
130,130,2023-10-13,105,1
131,45,2022-02-04,77,1
132,149,2022-03-26,78,1
133,4,2022-04-04,20,1
134,167,2024-03-01,1,1
135,143,2023-05-29,85,0
136,158,2023-01-21,116,1
137,92,2022-03-09,89,0
138,127,2022-02-11,101,1
139,11,2022-05-13,80,0
140,197,2022-01-13,100,1
141,110,2024-11-27,117,0
142,118,2022-07-22,7,1
143,148,2024-05-17,13,0
144,113,2024-02-03,25,0
145,196,2024-08-27,40,1
146,97,2024-09-12,80,0
147,200,2022-10-10,119,1
148,163,2024-10-18,119,1
149,88,2022-01-11,78,0
150,1,2024-02-04,11,0
151,112,2022-06-07,28,0
152,38,2024-10-08,34,0
153,75,2024-01-04,102,1
154,19,2023-04-11,87,1
155,92,2024-04-03,41,1
156,149,2023-01-25,52,0
157,39,2024-12-12,108,1
158,59,2023-10-16,85,1
159,49,2022-02-21,50,0
160,183,2024-08-12,116,0
161,86,2022-10-28,23,0
162,91,2023-09-02,11,1
163,116,2024-11-29,41,0
164,142,2023-12-31,21,1
165,82,2024-02-01,62,0
166,84,2024-06-22,6,1
167,169,2023-08-15,10,1
168,80,2022-04-18,61,0
169,153,2024-11-27,11,1
170,13,2022-03-04,114,1
171,15,2024-11-16,43,1
172,21,2024-09-24,20,0
173,46,2023-05-07,79,1
174,53,2022-05-17,22,0
175,61,2024-01-02,49,0
176,60,2022-10-18,26,1
177,17,2022-06-29,8,1
178,165,2023-01-20,59,0
179,76,2022-10-27,113,0
180,88,2023-10-24,21,0
181,28,2023-09-15,23,0
182,47,2023-08-05,49,1
183,178,2022-08-26,81,1
184,129,2023-05-27,32,0
185,184,2023-12-12,42,1
186,86,2024-06-30,13,0
187,173,2022-07-01,101,1
188,19,2024-05-25,112,1
189,7,2022-01-28,100,0
190,19,2022-01-14,33,1
191,125,2024-08-18,12,1
192,173,2023-03-03,2,0
193,111,2024-07-01,12,0
194,36,2022-08-06,64,0
195,169,2023-12-16,41,0
196,102,2024-09-25,77,0
197,116,2023-08-13,65,0
198,71,2023-10-18,111,0
199,61,2022-05-18,17,1
200,198,2022-06-24,114,1
201,116,2023-07-18,53,1
202,41,2023-01-12,108,1
203,59,2024-01-18,77,1
204,93,2022-11-19,5,0
205,68,2023-05-12,83,0
206,172,2023-04-28,74,1
207,28,2022-10-14,94,1
208,197,2024-06-17,95,1
209,114,2023-01-19,108,0
210,168,2022-09-16,113,1
211,77,2022-09-24,10,0
212,72,2023-04-23,24,0
213,100,2023-01-19,6,0
214,200,2022-06-30,11,1
215,33,2022-10-13,29,1
216,135,2024-09-06,67,0
217,55,2022-06-24,94,0
218,105,2023-11-22,54,0
219,20,2024-01-10,70,0
220,3,2023-07-09,45,0
221,180,2023-04-17,67,1
222,77,2022-04-29,89,0
223,79,2022-01-10,34,1
224,175,2023-07-14,51,1
225,62,2024-03-02,84,1
226,63,2023-09-09,41,1
227,61,2022-01-08,67,0
228,69,2024-04-16,78,1
229,181,2023-05-13,80,0
230,163,2023-05-08,21,0
231,5,2023-02-22,85,0
232,130,2023-04-14,71,1
233,113,2024-01-21,26,0
234,184,2022-05-14,79,1
235,3,2024-05-03,118,0
236,150,2022-06-20,30,1
237,129,2022-07-21,24,0
238,146,2022-03-27,4,1
239,109,2022-11-16,39,0
240,8,2023-10-03,55,0
241,169,2023-09-29,22,0
242,45,2022-04-05,99,1
243,96,2023-08-23,48,0
244,76,2022-08-08,73,0
245,85,2023-06-21,4,0
246,146,2023-09-27,76,0
247,101,2023-05-31,40,0
248,81,2023-09-29,2,0
249,114,2022-05-14,7,1
250,105,2024-03-22,61,1
251,36,2024-09-06,85,0
252,58,2023-12-06,117,0
253,180,2023-05-20,93,0
254,185,2023-05-06,38,1
255,178,2024-10-19,87,1
256,85,2024-09-29,36,1
257,141,2023-08-23,22,0
258,152,2024-08-30,87,0
259,74,2024-12-19,33,1
260,42,2022-10-27,10,1
261,192,2023-07-02,9,0
262,85,2022-04-09,45,1
263,146,2024-05-05,29,0
264,3,2023-05-20,97,0
265,198,2022-05-07,12,1
266,149,2022-05-27,33,1
267,25,2023-04-02,79,1
268,27,2023-05-29,35,0
269,111,2023-12-24,94,1
270,60,2024-05-01,26,0
271,183,2024-04-13,70,0
272,55,2023-12-21,71,0
273,79,2024-07-18,100,1
274,147,2024-10-17,51,0
275,188,2024-01-08,104,0
276,72,2022-08-20,109,1
277,152,2022-07-24,72,0
278,101,2022-05-17,82,1
279,139,2023-02-21,105,0
280,15,2023-08-08,8,1
281,179,2023-09-24,117,0
282,99,2023-12-14,72,0
283,93,2024-11-30,10,0
284,41,2023-08-26,75,0
285,176,2023-07-30,119,0
286,30,2023-10-06,13,0
287,132,2024-11-29,116,1
288,123,2022-06-17,92,0
289,154,2022-06-04,11,0
290,155,2024-12-30,27,0
291,149,2023-03-14,60,0
292,143,2023-05-26,101,1
293,137,2022-05-15,5,0
294,195,2022-02-13,118,1
295,42,2022-12-26,75,0
296,41,2024-07-31,2,0
297,23,2022-11-21,98,1
298,143,2023-08-20,19,0
299,147,2023-11-05,66,1
300,119,2023-12-24,38,1
301,35,2023-01-01,95,0
302,93,2023-02-23,118,0
303,70,2023-07-30,109,1
304,168,2024-07-01,109,1
305,73,2024-04-25,101,0
306,147,2023-01-05,74,1
307,12,2024-03-10,52,0
308,182,2024-05-17,13,1
309,109,2024-05-07,16,0
310,38,2022-06-22,75,0
311,164,2022-08-31,73,0
312,108,2024-12-12,56,1
313,114,2023-12-10,62,0
314,186,2023-03-30,112,0
315,28,2024-03-14,13,1
316,122,2023-07-22,26,0
317,116,2023-05-01,78,0
318,9,2023-05-23,46,1
319,147,2022-05-16,31,1
320,119,2022-09-04,68,0
321,160,2023-04-29,24,0
322,130,2023-12-07,96,1
323,69,2023-11-02,52,1
324,2,2024-04-12,110,1
325,115,2023-10-29,70,1
326,196,2024-12-24,117,0
327,73,2024-04-22,99,0
328,9,2024-01-28,64,0
329,148,2023-01-10,40,0
330,37,2022-05-10,103,0
331,21,2024-09-23,25,0
332,70,2023-12-21,46,1
333,5,2022-08-21,30,1
334,154,2024-08-17,22,1
335,44,2022-10-23,78,0
336,29,2022-07-02,63,1
337,132,2022-01-02,37,0
338,170,2023-10-14,12,0
339,79,2022-11-29,13,0
340,42,2022-11-21,91,1
341,165,2024-03-02,26,0
342,79,2024-07-28,29,0
343,69,2022-02-17,58,1
344,152,2022-08-28,10,1
345,170,2023-05-10,82,0
346,47,2022-11-06,49,1
347,120,2022-05-30,113,1
348,74,2023-03-19,41,1
349,184,2022-03-19,35,1
350,37,2022-08-28,46,0
351,104,2022-07-21,40,0
352,105,2022-01-08,22,1
353,98,2024-08-07,67,1
354,100,2023-02-17,34,1
355,84,2024-03-24,98,1
356,100,2023-08-16,113,1
357,171,2024-07-16,13,0
358,107,2022-12-01,113,0
359,17,2022-04-09,91,1
360,105,2022-04-09,20,1
361,151,2022-05-20,27,1
362,175,2024-10-14,102,1
363,128,2023-11-16,7,0
364,74,2022-02-04,29,1
365,47,2024-12-12,85,1
366,126,2022-11-04,13,1
367,93,2024-04-29,111,0
368,152,2022-08-12,116,1
369,120,2023-10-21,58,1
370,60,2024-05-26,11,1
371,139,2024-01-28,5,1
372,104,2023-08-28,73,1
373,32,2022-12-23,65,0
374,19,2023-05-03,113,1
375,62,2023-10-10,101,0
376,147,2022-07-04,40,0
377,63,2024-12-10,91,1
378,75,2024-01-18,102,1
379,55,2022-12-30,22,0
380,49,2024-04-14,88,0
381,103,2024-01-29,90,1
382,167,2024-01-28,73,1
383,91,2022-12-29,23,1
384,190,2024-09-21,30,1
385,73,2024-08-20,117,1
386,200,2023-10-09,102,0
387,151,2024-10-25,49,0
388,92,2023-07-01,52,0
389,24,2022-03-18,85,1
390,145,2022-04-23,68,0
391,19,2022-07-06,105,1
392,41,2023-08-20,83,1
393,189,2022-04-30,38,1
394,107,2022-06-20,107,1
395,124,2024-11-02,107,1
396,85,2024-09-07,88,1
397,11,2024-11-08,66,0
398,78,2024-08-16,17,1
399,78,2023-02-04,47,0
400,90,2022-02-12,78,0
401,128,2024-07-29,63,0
402,172,2024-05-25,55,0
403,171,2023-12-28,34,1
404,128,2023-11-11,27,0
405,102,2022-02-10,71,0
406,188,2022-09-24,68,0
407,200,2022-12-08,66,1
408,63,2024-11-26,17,1
409,91,2022-02-12,50,1
410,67,2023-12-26,99,1
411,4,2022-10-23,116,1
412,123,2024-08-31,51,1
413,113,2022-07-26,12,1
414,81,2023-05-21,106,0
415,130,2023-03-26,117,1
416,128,2022-12-26,41,0
417,172,2022-11-30,86,1
418,84,2022-02-18,52,0
419,34,2022-05-18,109,0
420,30,2024-12-08,47,1
421,110,2022-09-21,75,1
422,174,2023-06-02,98,0
423,174,2024-11-01,50,0
424,170,2024-04-08,114,0
425,9,2024-06-29,39,1
426,10,2023-08-30,116,1
427,140,2022-06-22,25,1
428,86,2023-12-16,73,1
429,3,2023-01-21,51,1
430,43,2024-08-28,36,0
431,39,2024-11-05,56,0
432,179,2023-06-01,62,0
433,88,2022-06-23,1,1
434,56,2024-02-13,66,1
435,172,2022-04-14,73,0
436,51,2024-11-02,75,1
437,189,2023-07-10,117,0
438,70,2024-06-23,9,0
439,111,2024-01-24,15,1
440,39,2024-12-30,99,0
441,46,2024-09-09,108,0
442,15,2022-12-29,84,0
443,106,2023-01-22,23,0
444,192,2023-10-22,92,1
445,75,2022-04-17,104,0
446,27,2022-05-31,54,1
447,78,2022-09-24,66,1
448,38,2022-10-14,26,0
449,52,2022-09-20,33,1
450,159,2022-11-26,98,0
451,57,2022-01-29,105,0
452,160,2023-06-09,81,1
453,40,2023-11-19,92,1
454,173,2024-06-16,87,1
455,71,2022-01-13,46,0
456,53,2023-07-05,47,1
457,102,2024-11-18,42,0
458,8,2024-01-20,58,0
459,145,2024-03-07,28,0
460,51,2024-04-14,104,0
461,109,2024-10-08,52,1
462,155,2024-10-10,89,0
463,107,2022-02-14,87,0
464,150,2024-08-22,49,1
465,184,2022-11-06,82,0
466,59,2024-09-06,105,0
467,132,2024-07-24,40,0
468,102,2022-01-23,88,0
469,98,2024-06-06,81,1
470,126,2024-07-21,32,0
471,184,2022-08-08,17,0
472,37,2022-04-04,119,1
473,182,2023-01-18,76,1
474,112,2023-05-08,1,1
475,185,2023-10-03,97,1
476,153,2023-12-21,3,0
477,44,2022-06-17,1,0
478,60,2023-05-18,41,0
479,109,2023-06-16,14,0
480,81,2022-01-29,57,0
481,76,2023-11-01,76,0
482,48,2024-04-17,60,0
483,35,2022-03-08,61,0
484,76,2023-08-07,12,0
485,141,2024-05-30,25,1
486,139,2023-02-20,22,0
487,19,2022-09-06,39,0
488,120,2024-11-01,23,0
489,89,2022-04-22,35,0
490,79,2024-10-28,38,1
491,9,2022-08-13,105,1
492,3,2024-09-21,94,0
493,99,2023-08-31,71,1
494,126,2022-10-27,28,1
495,176,2023-08-05,28,0
496,68,2024-04-06,101,0
497,162,2024-11-03,26,0
498,45,2024-10-29,22,1
499,24,2024-05-14,19,0
500,26,2023-07-01,28,0
501,6,2024-08-04,47,0
502,159,2024-06-25,61,1
503,110,2023-02-18,109,0
504,138,2023-03-08,63,0
505,175,2023-06-10,87,0
506,153,2022-06-13,114,1
507,4,2023-09-13,97,0
508,122,2022-09-09,83,0
509,12,2023-07-30,18,1
510,60,2024-12-01,118,1
511,10,2024-01-19,68,0
512,172,2022-10-28,36,0
513,108,2022-07-03,69,1
514,32,2023-08-22,28,1
515,137,2023-03-12,70,0
516,86,2022-03-27,98,0
517,96,2024-12-06,31,1
518,109,2023-05-23,26,0
519,172,2023-03-31,25,1
520,77,2024-08-26,1,1
521,156,2022-03-31,23,1
522,8,2023-12-12,34,1
523,43,2024-10-02,80,0
524,21,2023-05-04,18,0
525,198,2023-12-01,97,1
526,122,2023-08-15,51,1
527,144,2023-06-24,28,1
528,194,2022-09-25,116,0
529,167,2023-11-04,57,0
530,73,2024-09-30,112,0
531,66,2022-11-13,42,0
532,181,2023-12-29,109,0
533,72,2023-04-13,87,1
534,76,2024-06-19,51,0
535,126,2023-08-19,4,1
536,162,2022-12-06,119,0
537,4,2023-04-01,65,0
538,145,2023-01-26,64,0
539,72,2023-12-27,116,1
540,64,2023-03-24,61,0
541,121,2024-09-06,114,1
542,61,2023-12-01,20,1
543,7,2024-09-09,112,1
544,97,2024-12-31,80,1
545,54,2023-05-31,43,0
546,53,2023-08-27,3,0
547,113,2023-11-26,36,1
548,75,2024-05-08,77,0
549,62,2024-12-09,99,0
550,176,2024-10-14,110,1
551,103,2023-02-03,98,1
552,69,2022-11-08,68,0
553,126,2024-02-29,25,0
554,175,2022-11-08,8,0
555,86,2024-08-16,91,1
556,10,2023-11-01,110,0
557,21,2023-03-16,51,0
558,135,2024-06-24,71,0
559,111,2022-09-15,100,0
560,87,2022-09-09,91,0
561,116,2022-05-20,41,1
562,114,2024-04-10,68,0
563,62,2024-04-20,21,0
564,21,2022-09-25,117,1
565,76,2024-09-29,115,0
566,195,2024-12-02,81,0
567,100,2023-08-15,77,1
568,107,2022-02-28,81,1
569,183,2022-06-14,114,1
570,13,2024-06-30,119,1
571,135,2024-03-23,51,1
572,185,2023-05-05,68,0
573,101,2024-02-19,80,0
574,11,2023-09-20,62,1
575,182,2024-12-05,40,1
576,182,2024-12-14,62,1
577,109,2022-12-11,62,0
578,143,2022-03-17,46,1
579,137,2022-07-02,54,0
580,6,2023-11-30,28,0
581,58,2023-10-20,40,1
582,103,2022-12-26,68,0
583,115,2024-03-05,99,1
584,150,2024-06-30,15,0
585,112,2022-04-12,5,0
586,191,2022-08-12,38,1
587,59,2024-09-30,69,0
588,103,2024-10-24,94,1
589,42,2022-10-17,45,0
590,33,2024-04-10,73,1
591,106,2022-01-27,0,1
592,47,2024-05-05,116,1
593,198,2022-03-20,25,1
594,113,2022-05-03,49,0
595,159,2024-12-20,78,0
596,13,2024-08-10,67,0
597,31,2023-11-24,115,1
598,65,2023-07-09,64,1
599,191,2022-03-26,42,0
600,19,2022-10-28,12,1
601,58,2023-03-18,25,0
602,21,2022-05-09,116,0
603,28,2024-09-20,15,1
604,56,2022-04-07,63,0
605,150,2024-08-28,97,1
606,131,2024-11-25,22,0
607,172,2022-02-08,36,0
608,108,2023-11-04,29,1
609,84,2023-10-10,11,1
610,120,2024-09-27,9,1
611,140,2024-07-01,6,1
612,5,2022-10-08,39,1
613,144,2023-12-03,110,1
614,150,2024-08-27,96,0
615,75,2022-10-25,98,0
616,39,2022-02-18,36,1
617,93,2022-10-02,19,1
618,54,2024-10-02,106,0
619,144,2023-06-07,10,0
620,29,2022-10-03,27,0
621,85,2024-03-09,77,0
622,161,2022-09-29,39,0
623,125,2022-05-07,26,1
624,69,2023-02-25,3,0
625,12,2022-05-18,96,0
626,195,2023-01-04,26,0
627,62,2024-09-15,99,1
628,184,2023-04-04,81,0
629,82,2022-10-23,52,1
630,56,2023-05-04,44,1
631,18,2023-06-24,78,0
632,24,2022-07-08,94,1
633,119,2023-11-05,6,0
634,52,2022-05-25,39,0
635,188,2023-03-12,55,1
636,92,2022-07-03,80,1
637,32,2024-07-04,45,0
638,146,2024-08-02,108,0
639,4,2024-09-05,18,0
640,160,2022-12-07,18,0
641,15,2022-08-08,97,1
642,158,2024-03-11,115,1
643,59,2023-06-09,29,0
644,19,2023-08-03,116,0
645,130,2023-10-14,28,1
646,10,2022-05-24,31,0
647,197,2022-06-22,68,1
648,51,2023-04-10,88,1
649,52,2023-02-01,109,1
650,195,2024-06-23,37,1
651,177,2022-10-20,27,1
652,52,2022-12-08,69,1
653,108,2024-05-02,93,0
654,127,2022-10-15,5,0
655,173,2023-08-26,101,1
656,161,2022-05-30,108,1
657,94,2024-12-29,27,0
658,166,2022-04-07,109,0
659,191,2022-08-09,88,0
660,75,2022-01-30,57,1
661,152,2024-04-27,104,0
662,168,2024-04-01,55,1
663,3,2023-04-13,89,1
664,75,2023-03-12,86,0
665,161,2024-01-11,16,1
666,153,2023-03-06,100,0
667,11,2023-04-12,102,1
668,29,2024-12-16,24,1
669,188,2024-05-09,82,0
670,19,2023-08-29,74,1
671,100,2023-05-26,68,0
672,63,2024-10-10,12,1
673,77,2024-12-17,74,0
674,19,2023-08-23,105,1
675,200,2022-07-26,6,0
676,82,2023-02-14,17,0
677,133,2023-11-20,117,0
678,37,2023-03-21,108,1
679,18,2023-05-13,99,0
680,59,2024-03-12,17,0
681,16,2023-11-09,78,0
682,153,2022-05-12,7,0
683,52,2023-08-23,67,1
684,112,2024-12-02,54,0
685,17,2023-11-14,66,1
686,148,2024-11-25,5,1
687,25,2024-10-11,107,0
688,172,2024-12-17,28,1
689,35,2023-06-28,45,1
690,154,2024-04-30,77,0
691,118,2022-08-23,100,0
692,10,2022-08-03,12,1
693,125,2022-05-07,23,1
694,192,2024-06-26,22,1
695,181,2022-05-02,58,1
696,164,2023-09-25,32,0
697,141,2024-05-30,27,0
698,185,2023-02-21,104,1
699,165,2024-02-24,113,1
700,78,2022-04-20,71,1
701,175,2023-03-31,21,1
702,189,2022-09-26,6,1
703,146,2023-07-01,37,0
704,62,2022-08-04,55,1
705,109,2024-08-20,14,1
706,94,2022-05-18,119,1
707,82,2022-05-12,117,1
708,32,2022-10-19,96,1
709,105,2023-06-04,78,0
710,38,2023-06-15,58,1
711,177,2024-09-08,65,1
712,39,2022-01-28,86,1
713,168,2022-01-22,8,0
714,136,2022-04-03,6,0
715,193,2023-02-04,11,1
716,3,2024-04-16,78,1
717,138,2023-08-07,79,0
718,3,2024-05-28,72,1
719,138,2024-01-08,66,1
720,134,2023-05-09,41,0
721,189,2024-11-15,28,1
722,55,2024-07-19,76,1
723,60,2023-11-06,117,0
724,64,2023-07-20,105,1
725,77,2023-03-17,60,1
726,83,2023-05-05,119,0
727,60,2024-07-04,19,1
728,44,2024-08-08,73,0
729,114,2022-05-22,45,1
730,135,2022-07-26,54,0
731,62,2022-07-05,21,1
732,57,2022-01-27,44,1
733,174,2022-12-08,33,1
734,192,2024-05-14,47,1
735,23,2023-05-19,66,1
736,170,2022-03-25,33,1
737,79,2024-07-08,72,1
738,118,2022-09-18,111,0
739,78,2023-03-26,99,0
740,120,2024-01-23,57,0
741,85,2023-08-05,82,0
742,102,2023-01-11,26,1
743,67,2024-09-21,44,1
744,2,2023-07-21,100,0
745,143,2024-09-06,93,1
746,181,2024-03-03,107,1
747,3,2022-03-02,41,1
748,142,2023-07-09,55,0
749,113,2022-04-08,35,1
750,78,2024-03-27,57,0
751,169,2024-08-02,60,0
752,34,2022-02-19,104,0
753,47,2024-03-21,86,0
754,91,2022-08-24,15,1
755,103,2024-04-02,33,0
756,165,2024-04-30,73,1
757,35,2022-11-18,30,1
758,67,2023-04-18,72,1
759,50,2023-11-15,20,0
760,157,2024-09-18,90,1
761,121,2023-12-15,118,0
762,34,2024-06-20,24,0
763,163,2024-04-09,83,0
764,11,2022-02-26,84,1
765,118,2023-08-17,63,1
766,131,2024-07-03,98,0
767,95,2023-03-04,37,1
768,69,2022-06-30,22,1
769,39,2024-07-23,58,0
770,177,2023-04-17,106,0
771,77,2024-07-31,45,1
772,185,2024-04-20,85,0
773,62,2024-09-24,71,1
774,140,2023-11-18,48,1
775,108,2023-03-13,74,1
776,180,2024-10-29,22,1
777,164,2024-01-06,62,1
778,45,2024-11-07,115,1
779,62,2024-08-19,7,1
780,145,2023-06-28,1,0
781,12,2023-02-13,35,1
782,130,2023-06-24,35,1
783,181,2023-10-22,39,1
784,107,2023-05-25,101,1
785,77,2023-07-02,72,1
786,53,2023-04-16,12,1
787,164,2024-11-13,79,1
788,98,2024-09-05,24,0
789,181,2024-12-21,77,1
790,145,2024-06-22,98,1
791,63,2023-06-23,95,0
792,165,2023-07-20,65,0
793,191,2023-12-27,31,1
794,156,2023-03-28,106,1
795,72,2022-02-16,33,0
796,136,2022-05-20,116,1
797,171,2022-06-21,35,1
798,192,2022-08-18,106,1
799,187,2022-12-08,98,0
800,62,2023-05-15,44,0
801,76,2024-03-04,73,1
802,70,2022-01-29,37,0
803,39,2023-09-22,68,1
804,176,2023-01-17,76,1
805,132,2022-03-06,49,1
806,98,2023-07-06,117,0
807,44,2022-03-23,7,0
808,100,2024-12-11,117,1
809,160,2024-01-29,44,0
810,25,2022-12-16,113,1
811,182,2023-07-21,74,0
812,192,2022-10-10,111,0
813,137,2023-06-03,101,1
814,141,2022-12-07,32,1
815,169,2024-04-15,23,1
816,177,2024-06-15,114,1
817,165,2022-03-09,67,1
818,98,2023-07-27,91,0
819,49,2024-01-12,106,0
820,49,2024-10-03,11,1
821,46,2023-11-29,28,1
822,141,2022-09-22,0,0
823,54,2022-08-22,1,0
824,74,2022-11-16,116,1
825,1,2024-03-14,21,0
826,4,2023-09-27,118,1
827,112,2022-01-06,114,1
828,156,2023-07-09,55,1
829,76,2023-11-03,35,1
830,150,2022-09-16,71,1
831,117,2023-08-03,7,1
832,190,2022-08-20,101,1
833,32,2022-04-18,38,1
834,21,2022-09-08,31,0
835,130,2024-03-08,72,0
836,119,2024-05-04,56,0
837,91,2023-06-22,38,0
838,66,2023-05-31,63,1
839,62,2024-03-27,76,1
840,75,2023-08-02,33,0
841,159,2022-11-02,61,0
842,142,2022-12-07,108,0
843,133,2023-01-15,32,0
844,148,2023-11-15,114,0
845,146,2023-06-04,78,0
846,111,2023-09-19,5,1
847,190,2024-10-22,112,0
848,184,2022-12-09,40,0
849,113,2023-01-08,24,0
850,123,2024-07-06,102,0
851,180,2023-06-06,82,0
852,41,2023-05-29,113,0
853,124,2023-06-04,103,1
854,139,2023-02-19,69,0
855,48,2022-12-31,46,1
856,143,2022-08-26,105,0
857,4,2023-07-02,98,0
858,33,2023-01-15,110,0
859,199,2024-01-14,87,0
860,65,2022-06-28,77,1
861,52,2022-11-21,111,0
862,47,2022-06-26,86,0
863,49,2023-01-24,102,0
864,95,2022-06-04,14,1
865,184,2024-09-06,52,0
866,189,2022-04-25,66,1
867,58,2023-04-03,54,0
868,104,2023-01-19,88,0
869,166,2024-05-20,80,1
870,62,2022-10-11,27,0
871,126,2024-10-24,55,1
872,43,2023-11-15,15,0
873,127,2022-05-27,27,1
874,36,2022-02-18,81,1
875,77,2022-04-26,67,1
876,20,2022-02-23,79,0
877,115,2024-01-30,15,0
878,160,2023-10-20,95,0
879,153,2024-08-11,7,1
880,166,2022-08-25,1,1
881,28,2022-11-18,59,0
882,146,2023-05-22,90,0
883,80,2022-06-04,105,0
884,29,2023-03-28,62,0
885,12,2024-02-20,21,1
886,24,2023-10-18,30,0
887,70,2024-10-13,11,1
888,131,2022-12-14,91,1
889,91,2023-01-11,8,0
890,45,2022-02-12,117,0
891,110,2024-01-24,35,1
892,181,2023-11-25,28,0
893,1,2024-09-21,62,0
894,175,2024-08-20,76,1
895,59,2022-06-27,51,0
896,28,2023-06-05,92,0
897,43,2024-04-13,114,1
898,162,2023-12-11,13,1
899,90,2024-02-09,113,1
900,175,2022-08-03,67,0
901,120,2024-07-19,40,0
902,154,2023-06-17,1,1
903,39,2024-01-29,43,1
904,66,2024-08-14,62,1
905,144,2023-05-05,107,1
906,59,2024-03-16,12,1
907,178,2022-10-15,119,1
908,200,2023-06-18,32,0
909,144,2022-12-29,54,1
910,79,2023-06-06,80,0
911,84,2023-03-28,94,0
912,28,2022-09-25,61,1
913,141,2022-02-01,5,1
914,56,2024-10-31,108,0
915,110,2024-07-23,89,0
916,24,2022-08-02,4,0
917,119,2024-08-27,90,0
918,82,2023-03-10,53,1
919,5,2023-06-02,8,0
920,107,2022-04-19,4,1
921,78,2022-01-22,83,0
922,71,2023-02-18,30,0
923,58,2022-07-21,117,1
924,170,2024-01-24,76,1
925,124,2022-03-28,108,1
926,28,2023-05-23,6,0
927,14,2022-02-23,28,0
928,177,2022-01-02,40,1
929,32,2023-07-29,115,1
